类别,省,市,县,公司简称,行政区划,公司全名,行业,员工人数,总市值(亿),股票代码,注册地,办公地,官网,成立日期,上市日期
深创业板,浙江省,嘉兴市,南湖区,信息发展,330402,交信(浙江)信息发展股份有限公司,软件开发,835,77.38,300469,浙江省嘉兴市南湖区东栅街道信德园16幢1室1层,上海市青浦区崧泽大道6011号,www.cesgroup.com.cn,10/28/1997,6/11/2015
深创业板,四川省,成都市,武侯区,中密控股,510107,中密控股股份有限公司,通用设备,1686,75.13,300470,四川省成都市武侯区武科西四路八号,四川省成都市武侯区武科西四路八号,www.sns-china.com,9/28/1993,6/12/2015
深创业板,四川省,成都市,武侯区,厚普股份,510107,厚普清洁能源(集团)股份有限公司,专用设备,930,35.04,300471,四川省成都市武侯区成都高新区康隆路555号102栋1层1号,四川省成都市武侯区高新区康隆路555号,houpugroup.com,1/6/2005,6/11/2015
深创业板,江西省,抚州市,临川区,新元科技,361002,万向新元科技股份有限公司,专用设备,576,11.86,300472,江西省抚州市临川区才都工业园区科技园路666号临川高新科技产业园办公楼,北京市海淀区学清路8号科技财富中心B栋12层,www.newu.com.cn,9/23/2003,6/11/2015
深创业板,辽宁省,阜新市,细河区,德尔股份,210911,阜新德尔汽车部件股份有限公司,汽车零部件,3725,39.86,300473,辽宁省阜新市细河区经济开发区E路55号,辽宁省阜新市细河区开发大街59号,www.dare-auto.com,11/11/2004,6/12/2015
深创业板,湖南省,长沙市,岳麓区,景嘉微,430104,长沙景嘉微电子股份有限公司,军工电子,1140,385.27,300474,湖南省长沙市岳麓区高新开发区岳麓西大道1698号麓谷科技创新创业园B1栋902,湖南省长沙市岳麓区梅溪湖路1号,www.jingjiamicro.com,4/4/2006,3/31/2016
深创业板,安徽省,宣城市,宁国市,香农芯创,341881,香农芯创科技股份有限公司,其他电子,576,139.33,300475,安徽省宣城市宁国市经济技术开发区创业北路16号,广东省深圳市南山区海德三道166号航天科技广场B座22楼,www.shannonxsemi.com,9/15/1998,6/10/2015
深创业板,广东省,惠州市,惠阳区,胜宏科技,441303,胜宏科技(惠州)股份有限公司,元件,13804,659.09,300476,广东省惠州市惠阳区淡水镇新桥村行诚科技园,广东省惠州市惠阳区淡水镇新桥村行诚科技园,www.shpcb.com,7/27/2006,6/11/2015
深创业板,湖南省,长沙市,岳麓区,合纵科技,430104,合纵科技股份有限公司,电网设备,3236,27.34,300477,湖南省长沙市岳麓区湘江新区东方红街道岳麓西大道588号芯城科技园2栋401-16,北京市海淀区上地三街9号（嘉华大厦）D1211、1212,www.hezonggroup.cn,4/14/1997,6/10/2015
深创业板,浙江省,杭州市,余杭区,杭州高新,330110,杭州高新材料科技股份有限公司,塑料制品,163,14.63,300478,浙江省杭州市余杭区径山镇后村桥路3号,浙江省杭州市余杭区径山镇后村桥路3号,www.hangzhougosing.cn,11/25/2004,6/10/2015
深创业板,山东省,济南市,历下区,神思电子,370102,神思电子技术股份有限公司,计算机设备,747,39.68,300479,山东省济南市历下区高新区舜华西路699号,山东省济南市历下区高新区舜华西路699号,www.sdses.com,12/26/2004,6/12/2015
深创业板,河南省,郑州市,中原区,光力科技,410102,光力科技股份有限公司,专用设备,994,44,300480,河南省郑州市中原区高新技开发区长椿路10号,河南省郑州市中原区高新技术产业开发区长椿路10号,www.gltech.cn,1/21/1994,7/2/2015
深创业板,河南省,濮阳市,华龙区,濮阳惠成,410902,濮阳惠成电子材料股份有限公司,电子化学品,817,40.78,300481,河南省濮阳市华龙区胜利路西段,河南省濮阳市华龙区胜利路西段,www.huichengchem.com,12/26/2002,6/30/2015
深创业板,广东省,广州市,黄埔区,万孚生物,440112,广州万孚生物技术股份有限公司,医疗器械,3197,102.4,300482,广东省广州市黄埔区科学城荔枝山路8号,广东省广州市黄埔区科学城荔枝山路8号,www.wondfo.com.cn,11/12/1992,6/30/2015
深创业板,上海市,市辖区,闵行区,首华燃气,310112,首华燃气科技(上海)股份有限公司,油气开采及服务,243,22.05,300483,上海市闵行区元江路5000号,上海市闵行区元江路5000号,www.primagas.com.cn,1/7/2003,6/30/2015
