公司简称,全称,行业,销售额,利润(万元),利润率,市,区县,
先锋新材,宁波先锋新材料股份有限公司,通用化工品,51435,-374,-0.70%,宁波市,鄞州区,浙江省宁波市鄞州区集士港镇山下庄村
报喜鸟,报喜鸟控股股份有限公司,服装与服饰,168440,-450,-0.30%,温州市,永嘉县,浙江省永嘉县瓯北镇报喜鸟工业区
东晶电子,浙江东晶电子股份有限公司,电子电气组件与设备,16815,-915,-5.40%,金华市,婺城区,浙江省金华市宾虹西路555号
宝鼎科技,宝鼎科技股份有限公司,工业机械,17385,-1107,-6.40%,杭州市,余杭区,浙江省杭州余杭区塘栖镇工业园区内
天目药业,杭州天目山药业股份有限公司,制药,8449,-1220,-14.40%,杭州市,余杭区,浙江省杭州市文二西路738号西溪乐谷3号楼
*ST圣莱,宁波圣莱达电器股份有限公司,消费电子产品,8257,-1727,-20.90%,宁波市,江北区,浙江省宁波市江北区金山路298号
宁波富邦,宁波富邦精业集团股份有限公司,铝业,59047,-2031,-3.40%,宁波市,鄞州区,浙江省宁波市鄞州区天童北路702号工业城办公大楼三楼
步森股份,浙江步森服饰股份有限公司,服装与服饰,26086,-2185,-8.40%,绍兴市,诸暨市,浙江省诸暨市枫桥镇步森大道419号
大东南,浙江大东南股份有限公司,特种化工品,77525,-2406,-3.10%,绍兴市,诸暨市,浙江省诸暨市陶朱街道千禧路5号
三变科技,三变科技股份有限公司,电子电气组件与设备,37239,-5669,-15.20%,台州市,三门县,浙江省三门县海游镇西区大道369号
中捷资源,中捷资源投资股份有限公司,工业机械,68363,-6197,-9.10%,台州市,玉环县,浙江省玉环县大麦屿街道兴港东路198号
波导股份,宁波波导股份有限公司,通讯设备,121968,-7986,-6.50%,宁波市,奉化市,浙江省奉化市大成东路999号
海越股份,浙江海越股份有限公司,石油勘探与开采,749420,-8854,-1.20%,绍兴市,诸暨市,浙江省诸暨市西施大街59号
贝因美,贝因美婴童食品股份有限公司,食品生产（IV）,200701,-35767,-17.80%,杭州市,滨江区,浙江省杭州市滨江区南环路3758号
,,杭汽轮B(200771),{d1},{d2},,杭州市,江干区,
