公司简称,全称,行业,销售额,利润(万元),利润率,市,区县,
浙江鼎力,浙江鼎力机械股份有限公司,工业机械,86588,26832,31.00%,湖州市,德清县,浙江省德清县雷甸镇白云南路1255号
继峰股份,宁波继峰汽车零部件股份有限公司,汽车零配件（IV）,131174,26392,20.10%,宁波市,北仑区,浙江省宁波市北仑区大?\璎珞河路17号
杭氧股份,杭州杭氧股份有限公司,工业机械,465023,26388,5.70%,杭州市,下城区,浙江省杭州市下城区中山北路592号弘元大厦
晶盛机电,浙江晶盛机电股份有限公司,工业机械,125747,26229,20.90%,杭州市,余杭区,浙江省杭州市余杭区五常街道创智天地中心2号楼10楼
宁波联合,宁波联合集团股份有限公司,综合供应商,459592,25635,5.60%,宁波市,北仑区,浙江省宁波开发区东海路1号联合大厦
博威合金,宁波博威合金材料股份有限公司,有色金属,421796,23867,5.70%,宁波市,鄞州区,浙江省宁波市鄞州区鄞州大道东段1777号博威大厦11楼
浙大网新,浙大网新科技股份有限公司,计算机服务,206527,23829,11.50%,杭州市,西湖区,浙江省杭州市西园一路18号浙大网新软件园A楼15层
安正时尚,安正时尚集团股份有限公司,服装与服饰,99604,23599,23.70%,嘉兴市,海宁市,浙江省海宁市海宁经济开发区谷水路298号
艾格拉斯,艾格拉斯股份有限公司,互联网,48777,23584,48.40%,金华市,婺城区,浙江省金华市婺城新区临江工业园区（白龙桥镇湖家）
联化科技,联化科技股份有限公司,特种化工品,290609,23297,8.00%,台州市,黄岩区,浙江省台州市黄岩区劳动北路总商会大厦17楼
通策医疗,通策医疗投资股份有限公司,医疗保健服务,87015,22839,26.20%,杭州市,西湖区,浙江省杭州市灵溪北路21号合生国贸中心5号楼10楼
传化智联,传化智联股份有限公司,特种化工品,1199543,22822,1.90%,杭州市,萧山区,浙江省杭州市萧山区民和路945号传化大厦16F
东睦股份,东睦新材料集团股份有限公司,有色金属,129745,22766,17.50%,宁波市,鄞州区,浙江省宁波市鄞州工业园区（姜山）景江路8号
新安股份,浙江新安化工集团股份有限公司,特种化工品,547600,22736,4.20%,杭州市,建德市,浙江省建德市江滨中路新安大厦1号
奥康国际,浙江奥康鞋业股份有限公司,鞋类,227299,22498,9.90%,温州市,永嘉县,浙江省永嘉县瓯北镇千石工业区奥康工业园
信质电机,信质电机股份有限公司,工业机械,171824,22443,13.10%,台州市,椒江区,浙江省台州市椒江区前所信质路28号
