品牌,商场名,地址,开店日期
永辉,齐齐哈尔市 建华万达店,黑龙江省齐齐哈尔市建华区新江路（引水街）万达广场,2015-08-01
永辉,成都市 皇冠国际社区店,四川省成都市龙泉驿区北京路（北泉路）皇冠国际社区,2015-08-01
永辉,安阳市 安阳万达广场店,河南省安阳市文峰区中华路（文明大道路口)安阳万达广场,2015-07-25
永辉,金山区 金山万达广场店,上海市金山区松卫南路（龙航路）金山万达广场,2015-07-17
永辉,莆田市 天博广场店,福建省莆田市仙游县鲤南区温泉东路（柳安街）天博广场,2015-07-03
永辉,朝阳区 金泉广场店,北京市朝阳区大屯里318号楼,2015-06-26
永辉,内江市 内江万达店,四川省内江市东兴区汉安大道北侧万达广场,2015-06-25
永辉,营口市 站前万达店,辽宁省营口市站前区渤海大街(市府路)万达广场,2015-06-19
永辉,广元市 广元万达店,四川省广元市利州区利州东路广元万达广场,2015-06-05
永辉,福州市 名城城市广场店,福建省福州市马尾区快安名城城市广场,2015-05-29
永辉,九龙坡区 华福金科店,重庆市九龙坡区华福路北段18号金科阳光小镇,2015-05-20
永辉,北碚区 双元大道店,重庆市北碚区双元大道海宇中央鑫都,2015-05-13
永辉,房山区 长阳半岛店,北京市房山区长阳起步区5号中粮万科长阳半岛,2015-04-26
永辉,宝山区 长江国际店,上海市宝山区殷高西路333号长江国际商业购物中心,2015-04-24
永辉,顺义区 后沙峪店,北京市顺义区后沙峪镇双裕街45号,2015-04-11
永辉,合肥市 肥东星光店,安徽省合肥市肥东县塘杨路(人民路口）星光国际广场,2015-02-08
永辉,广安市 滨河路店,四川省广安市滨河路一段广安国际商业中心,2015-02-05
永辉,昌平区 温都水城店,北京市昌平区北七家镇郑各庄温都水城文化广场,2015-01-30
永辉,福州市 天嘉店,福建省福州市鼓楼区天泉路天嘉小区北侧生活配套广场一层7号,2015-01-29
永辉,黔南州 独山店,贵州省黔南布依族苗族自治州独山县城关镇南通北路盛源国际商住小区,2015-01-29
永辉,宜宾市 福临大道店,四川省宜宾市南溪县文化路西段（南一中后门旁）,2015-01-29
永辉,嘉兴市 海昌路店,浙江省嘉兴市海宁海昌路（新苑路）海宁银泰城,2015-01-28
永辉,成都市 凯德沙湾店,四川省成都市金牛区二环路北一段10号凯德广场,2015-01-23
永辉,龙岩市 龙岩万宝广场店,福建省龙岩市新罗区龙岩大道388号,2015-01-17
永辉,无锡市 长江路店,江苏省无锡市长江路(旺庄路)茂业百货,2015-01-15
永辉,南充市 英伦城邦店,四川省南充市顺庆区望天坝英伦城邦,2015-01-08
永辉,石景山区 喜隆多店,北京市石景山区阜石路300号喜隆多购物中心,2014-12-30
永辉,贵阳市 新世界花园店,贵州省贵阳市金阳新区金西北路新世界花园,2014-12-30
永辉,漳州市 翠峰广场店,福建省漳州市云霄县将军大道(陈政路口)翠峰广场,2014-12-27
永辉,西安市 南关正街店,陕西省西安市碑林区南关正街(友谊路)中贸广场,2014-12-27
永辉,合川区 合川宝龙店,重庆市合川区城北大道(北环路)宝龙城市广场,2014-12-27
永辉,南川区 渝南大道店,重庆市南川区西城街道,2014-12-27
永辉,衡水市 安平店,河北省衡水市安平县育才路(为民街)瑞泰广场,2014-12-27
永辉,沈阳市 汪河路店,辽宁省沈阳市于洪新城汪河路115号碧桂园.银河城,2014-12-27
永辉,郑州市 北环路店,河南省郑州市北环路(文化路)瀚海北金负一楼,2014-12-24
永辉,沙坪坝区 龙湖仟百汇店,重庆市沙坪坝区大学城北路50号龙湖仟百汇,2014-12-20
永辉,大兴区 鸿坤理想城店,北京市大兴区西红门宏福路(欣旺大街)鸿坤理想城,2014-12-20
永辉,西安市 曲江池东路店,陕西省西安市曲江新区曲江池东路（曲江池北路）,2014-12-20
