品牌,商场名,地址
大润发,佛山市 - 罗村店,佛山市南海区罗村街道罗村村委会金盛广场
大润发,韶关市 - 乐昌店,韶关市乐昌市乐城街道人民中路
大润发,佛山市 - 高明店,广东省佛山市高明区荷城街道沧江路423号1座
大润发,中山市 - 东凤店,广东省中山市东凤镇凤翔大道2号
大润发,韶关市 - 南雄店,南雄市雄中路与青云东路交界处东北角
大润发,佛山市 - 龙江店,顺德区龙江镇文华社区龙洲西路99号碧桂园商业广场1-100、1-200、1-300商铺
大润发,梅州市 - 梅州店,广东省梅州市梅江区江南路与梅水路交汇处
大润发,湛江市 - 赤坎店,广东省湛江市开发区人民大道北6号南国豪苑商场一、二层
大润发,中山市 - 西区店,广东省中山市西区富华道32号
大润发,江门市 - 开平店,广东省江门开平市东兴大道与325国道交界处东北角中业新城大润发
大润发,云浮市 - 罗定店,广东省罗定市罗城镇龙园东路原罗定体育馆
大润发,中山市 - 三乡店,广东省中山市三乡镇广场路与景观大道交汇处
大润发,中山市 - 古镇店,中山市市辖区新兴大道东古镇大信新都汇1层 
大润发,惠州市 - 开城大道店,惠州市惠阳区淡水开城大道南华星金碧蓝湾1-4层
大润发,佛山市 - 金沙洲店,佛山市南海区大沥镇黄岐泌冲建慎
大润发,海口市 - 国贸店,海南省海口市明珠路八号宜欣商业广场负一楼
大润发,海口市 - 国兴店,海南省海口市国兴大道63号
大润发,海口市 - 龙昆南店,海南省海口市龙昆南路58号和信广场负一楼
大润发,北海市 - 海城店,北海市海城区北海大道与北京路交汇处
大润发,柳州市 - 柳北店,广西省柳州市柳北区胜利路12-6号
大润发,柳州市 - 文惠桥店,柳州市屏山大道185号负一楼001办公室
大润发,钦州市 - 钦州店,广西自治区钦州市南珠大道南面与沙井大道交汇处
大润发,玉林市 - 玉林店,广西壮族自治区玉林市玉州区民主南路499号
大润发,梧州市 - 梧州店,广西梧州市万秀区大学路与文澜路交汇处旺城广场1-3楼
大润发,柳州市 - 柳南店,柳州市航一路9号
大润发,南宁市 - 西乡塘店,南宁市西乡塘区大学东路75号一楼（原陈东市场）
大润发,北海市 - 银海店,北海市四川南路与新世纪大道交汇处东南角
大润发,厦门市 - 厦门店,厦门市思明区体育路工人体育馆负一层
大润发,漳州市 - 漳州店,福建省漳州市新华北路与漳福路交汇处东北角
大润发,泉州市 - 晋江店,晋江市湖光西路翠山苑一楼
大润发,福州市 - 金山店,福建省福州市仓山区建新镇金榕路与金达路交叉口东南角
大润发,龙岩市 - 龙岩店,龙岩大道与西陂路交界口西南角
大润发,泉州市 - 安溪店,福建省泉州市安溪县城厢镇二环路与建安大道交汇处东北角
大润发,泉州市 - 洛江店,福建省泉州市洛江区安吉路与万盛街交叉口西南侧             
大润发,泉州市 - 惠安店,福建省惠安县世纪大道大润发购物广场
大润发,厦门市 - 蔡塘店,福建省厦门市湖里区吕岭路1068号蔡塘广场负一楼
大润发,泉州市 - 世纪店,福建省晋江市世纪大道与迎宾路交汇处宝龙城市广场一层
大润发,三明市 - 尤溪店,尤溪县城关镇滨河大道与东一路交叉口东方商业广场一楼大润发购物广场
大润发,三明市 - 永安店,福建省永安市含笑大道1188号
大润发,漳州市 - 龙文店,漳州市龙文区迎宾大道12号锦绣一方商业广场1-2楼
大润发,三明市 - 三明店,三明市梅列区玫瑰新村86幢负一层至负二层
大润发,福州市 - 王庄店,福建省福州市晋安区长乐路东侧紫阳商贸中心1号楼一至三层商场
大润发,南平市 - 建阳店,南平市建阳区人民西路与迎宾大道交叉口东侧
大润发,泉州市 - 石狮店,石狮市灵秀镇钞坑区南环路世茂摩天城大润发
