品牌,商场名,地址
大润发,泉州市 - 鲤城店,鲤城区新华北路与城北路交叉口开元盛世广场
大润发,厦门市 - 海沧店,中国（福建）自由贸易试验区厦门片嵩屿南二路99号1303
大润发,厦门市 - 集美店,集美区同集南路68号美岁天地B101
大润发,西双版纳傣族自治州 - 西双版纳店,景洪市勐海路2号新大桥头南西双十二城大润发购物广场
大润发,昆明市 - 官南店,云南省昆明市官渡区官南大道2169号
大润发,昆明市 - 广福店,云南省昆明市官渡区广福路与金源大道交汇处春城时光花园地下-1层
大润发,安顺市 - 安顺店,贵州省安顺市黄果树大道与市府路交汇处西北侧
大润发,六盘水市 - 六盘水店,贵州省六盘水市钟山区钟山大道与钢城大道交汇处
大润发,黔西南布依族苗族自治州 - 兴义店,贵州省兴义市桔山路与规划路交汇处（兴义商城）
大润发,遵义市 - 南白店,遵义县南白镇西大街乌江路交汇东南处
大润发,遵义市 - 红花岗店,贵州省遵义市红花岗区东处大道处
大润发,大同市 - 西环店,大同市城区大庆路与西环路交叉口西南角
大润发,西宁市 - 海湖店,青海省西宁市城西区五四西路与文汇路交汇处大润发
大润发,银川市 - 金凤店,宁夏回族自治区银川市金凤区通达北街新华联广场负一层
