销售额,利润(万元),利润率,市,区县,公司简称,全称,,,,,,
257572 ,65078 ,25.3%,台州市,临海市,伟星新材,浙江伟星新型建材股份有限公司,建材与构件,伟星新材(002372),浙江省临海经济开发区,浙江省临海经济开发区,www.china-pipes.com,2010/3/18
480401 ,63131 ,13.1%,宁波市,江北区,银亿股份,银亿房地产股份有限公司,不动产投资开发,银亿股份(000981),甘肃省兰州市高新技术开发区张苏滩573号八楼,浙江省宁波市江北区人民路132号银亿外滩大厦6楼,www.chinayinyi.cn,2000/6/22
319043 ,62926 ,19.7%,杭州市,萧山经济技术开发区,杭萧钢构,杭萧钢构股份有限公司,建材与构件,杭萧钢构(600477),浙江省杭州市萧山经济技术开发区,浙江省杭州市萧山经济技术开发区红垦农场,www.hxss.com.cn,2003/11/10
2098774 ,60667 ,2.9%,绍兴市,诸暨市店口镇工业区,海亮股份,浙江海亮股份有限公司,有色金属,海亮股份(002203),浙江省诸暨市店口镇工业区,浙江省诸暨市店口镇工业区,www.hailiang.com,2008/1/16
484798 ,59994 ,12.4%,杭州市,江干区,顾家家居,顾家家居股份有限公司,家具,顾家家居(603816),浙江省杭州经济技术开发区11号大街113号,浙江省杭州经济技术开发区11号大街113号,www.kukahome.com,2016/10/14
388978 ,59984 ,15.4%,宁波市,海曙区,荣安地产,荣安地产股份有限公司,不动产投资开发,荣安地产(000517),浙江省宁波市海曙区灵桥路513号(14-12),浙江省宁波市海曙区灵桥路513号天封大厦11楼、15楼、16楼,www.rongan.com.cn,1993/8/6
293943 ,59285 ,20.2%,杭州市,西湖区,上峰水泥,甘肃上峰水泥股份有限公司,建材与构件,上峰水泥(000672),甘肃省白银市白银区五一街8号,浙江省杭州市西湖区文二西路738号西溪乐谷创意产业园1幢E单元,www.sfsn.cn,1996/12/18
376727 ,58590 ,15.6%,金华市,婺城区,万里扬,浙江万里扬股份有限公司,商用运载工具与车辆,万里扬(002434),浙江省金华市宾虹西路3999号,浙江省金华市宾虹西路3999号,www.zjwly.com,2010/6/18
354037 ,58471 ,16.5%,宁波市,北仑区,拓普集团,宁波拓普集团股份有限公司,汽车零配件（IV）,拓普集团(601689),浙江省宁波市北仑区黄山西路215号,浙江省宁波市北仑区黄山西路215号,www.tuopu.com,2015/3/19
258381 ,56576 ,21.9%,杭州市,余杭区,兴源环境,兴源环境科技股份有限公司,综合公共事业,兴源环境(300266),浙江省杭州市余杭区杭州余杭经济技术开发区望梅路1588号,浙江省杭州市余杭区杭州余杭经济技术开发区望梅路1588号,www.xingyuan.com,2011/9/27
